Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,2M CALL,146.52,,0,,88.5,88.5,23,NN,FM,5,,,,,,
1,70CM CA,446,,0,,88.5,88.5,23,NN,FM,5,,,,,,
2,WX NBay,162.475,,0,,88.5,88.5,23,NN,FM,5,S,,,,,,
3,WX SFBA,162.4,,0,,88.5,88.5,23,NN,FM,5,S,,,,,,
4,WX South,162.55,,0,,88.5,88.5,23,NN,FM,5,S,,,,,,
5,N6ICW,147.195,+,0.6,Tone,123,88.5,23,NN,FM,5,,Mt Vaca / Sacramento Valley,,,,
10,SOCO ACS,146.73,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
11,PET ACS,146.91,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
12,CEN ACS,145.35,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
13,SON VLY,146.205,+,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
14,COAST,147.825,-,0.6,Tone,103.5,88.5,23,NN,FM,5,,,,,,
15,BODEGA,147.975,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
16,RUS RVR,145.19,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
17,SCRA VHF,147.315,+,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
18,SCRA UHF,441.375,+,5,Tone,88.5,88.5,23,NN,FM,5,,,,,,
19,BOD ALT,146.67,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,,,,,
20,N CO SIM,146.46,,0,,88.5,88.5,23,NN,FM,5,,,,,,
21,SOCO TAC,146.55,,0,,88.5,88.5,23,NN,FM,5,,,,,,
22,PTMA RS,147.495,,0,,88.5,88.5,23,NN,FM,5,,,,,,
23,SOCO RS,147.405,,0,,88.5,88.5,23,NN,FM,5,,,,,,
24,PKT 1200,144.91,,0,,88.5,88.5,23,NN,FM,5,,,,,,
25,N6NFI,145.23,-,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
26,WW6BAY,145.39,-,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
27,WW6BAY,443.225,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
28,CALCORD,156.075,off,0,,88.5,88.5,23,NN,FM,5,,,,,,
